datetime,AQI_target,AQI_lag_6h,AQI_yesterday_same_hour,AQI_rolling_mean_24h,AQI_trend_24h,PM2.5_current,PM10_current,wind_speed,is_low_wind,pressure,pressure_change_24h,temperature,temp_daily_range,humidity,is_high_humidity,dew_point,hour_sin,hour_cos,is_rush_hour,is_weekend,is_heating_season,month_sin,month_cos
2025-07-11 22:00:00,37.0,30.0,60.0,47.583333333333336,-30.0,13.0,30.0,15.6,0,1004.3,2.0,29.4,8.099999999999998,73.0,0,24.0,-0.5000000000000004,0.8660254037844384,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-11 23:00:00,25.0,16.0,49.0,46.208333333333336,-33.0,6.0,15.0,13.9,0,1004.3,2.199999999999932,27.6,8.099999999999998,82.0,1,24.2,-0.25881904510252157,0.9659258262890681,0,0,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 00:00:00,25.0,18.0,54.0,44.708333333333336,-36.0,9.0,18.0,19.9,0,1004.5,2.1000000000000227,27.3,8.099999999999998,85.0,1,24.5,0.0,1.0,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 01:00:00,24.0,20.0,51.0,43.416666666666664,-31.0,9.0,20.0,16.9,0,1004.9,1.7999999999999545,26.1,8.099999999999998,87.0,1,23.9,0.25881904510252074,0.9659258262890683,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 03:00:00,35.0,28.0,43.0,42.125,-15.0,14.0,28.0,14.6,0,1006.9,1.6999999999999318,26.0,8.099999999999998,91.0,1,24.4,0.7071067811865475,0.7071067811865476,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 04:00:00,34.0,37.0,51.0,41.541666666666664,-14.0,15.0,37.0,14.0,0,1007.1,1.6000000000000227,25.8,8.099999999999998,92.0,1,24.3,0.8660254037844386,0.5000000000000001,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 05:00:00,36.0,25.0,64.0,39.916666666666664,-39.0,16.0,25.0,12.8,0,1006.9,1.1999999999999318,25.8,8.099999999999998,91.0,1,24.2,0.9659258262890683,0.25881904510252074,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 06:00:00,38.0,25.0,61.0,38.416666666666664,-36.0,15.0,25.0,12.7,0,1006.6,1.0,25.6,5.5,91.0,1,24.1,1.0,6.123233995736766e-17,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 07:00:00,43.0,24.0,58.0,37.0,-34.0,15.0,24.0,11.5,0,1006.1,1.0,25.5,5.5,92.0,1,24.1,0.9659258262890683,-0.25881904510252063,1,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 08:00:00,42.0,,56.0,36.17391304347826,,,,11.3,0,1005.6,1.0,25.2,5.5,93.0,1,24.0,0.8660254037844387,-0.49999999999999983,1,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 09:00:00,40.0,35.0,55.0,35.30434782608695,-20.0,17.0,35.0,10.8,0,1005.4,1.1000000000000227,25.0,5.5,94.0,1,24.0,0.7071067811865476,-0.7071067811865475,1,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 10:00:00,43.0,34.0,54.0,34.43478260869565,-20.0,19.0,34.0,9.9,0,1005.4,0.8999999999999773,25.1,5.5,94.0,1,24.0,0.49999999999999994,-0.8660254037844387,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 11:00:00,17.0,36.0,54.0,33.65217391304348,-18.0,20.0,36.0,8.8,0,1005.6,0.7000000000000455,25.1,5.5,94.0,1,24.1,0.258819045102521,-0.9659258262890682,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 12:00:00,21.0,38.0,50.0,33.130434782608695,-12.0,21.0,38.0,11.8,0,1006.1,0.8000000000000682,25.8,5.5,90.0,1,24.1,1.2246467991473532e-16,-1.0,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 13:00:00,34.0,43.0,48.0,32.91304347826087,-5.0,22.0,43.0,12.7,0,1006.2,0.8000000000000682,26.3,5.5,88.0,1,24.1,-0.2588190451025208,-0.9659258262890683,0,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 18:00:00,26.0,21.0,44.0,31.217391304347824,-23.0,13.0,20.0,12.8,0,1006.5,1.6000000000000227,29.6,5.5,73.0,0,24.4,-1.0,-1.8369701987210297e-16,1,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 19:00:00,27.0,34.0,44.0,30.782608695652176,-10.0,16.0,34.0,19.7,0,1006.2,1.3000000000000682,29.0,5.5,74.0,0,23.9,-0.9659258262890684,0.2588190451025203,1,1,0,-0.4999999999999998,-0.8660254037844388
2025-07-12 20:00:00,28.0,,39.0,30.40909090909091,,,,9.8,0,1005.3,0.599999999999909,28.6,5.5,79.0,0,24.5,-0.8660254037844386,0.5000000000000001,0,1,0,-0.4999999999999998,-0.8660254037844388
